TaxiID,Lon,Lat,streetMID,disFNode,oneway,pLon,pLat
14189,114.261618,30.552115999999998,2243,84.6702280911177,F,114.261616883478,30.5521377512415
14684,114.205467,30.509995,7528,375.136463643189,F,114.205461054374,30.5099881320956
14687,114.321964,30.515576,1124,898.125670498985,B,114.321922525614,30.5152421744055
14740,114.39359099999999,30.621667,5775,132.253282262577,F,114.393590979275,30.6216656163801
14787,114.28034699999999,30.622754999999998,5924,377.449415090565,F,114.2803672878,30.6227557536252
14852,114.28795600000001,30.592682,4149,53.8162760710369,F,114.287994529195,30.5926962389165
14853,114.31822199999999,30.540411,1891,37.8918711792643,F,114.318219908693,30.5404077395519
14856,114.218833,30.556427000000003,2392,206.086164675203,F,114.218794198879,30.55635243388
14887,114.27582,30.661565000000003,7743,302.48675400086,F,114.275882050931,30.661468699317
14889,114.35189299999999,30.527966999999997,1418,491.346436346624,F,114.351862338203,30.5278933404068
14892,114.272231,30.606315999999996,5206,516.566884949322,F,114.272227033503,30.6063229071606
14913,114.30201799999999,30.631466999999997,6107,184.930453328376,F,114.302016977469,30.6314638781647
14914,114.15596399999998,30.619889,7340,131.220126808598,F,114.156768192068,30.6194724362611
14920,114.26189699999999,30.565003000000004,7109,269.457890071286,F,114.261912027872,30.5650005135283
14938,114.22063500000002,30.619302,5638,1619.76929843451,B,114.220546427357,30.6193006525241
14939,114.251792,30.644817,7424,63.9083400271459,F,114.252371801029,30.6440997949606
15457,114.26425800000001,30.577146999999997,3259,31.7839317023221,F,114.264323790842,30.5771740550638
15480,114.304048,30.502777000000002,763,454.228219844473,B,114.304916405732,30.5027098966441
15492,114.264447,30.597772999999997,4451,95.0515551978782,F,114.264372830445,30.5979013632231
15516,114.16085700000001,30.580161999999998,3562,393.527960586421,F,114.160538915871,30.5799960637316
15702,114.34256299999998,30.543965000000004,2122,445.86792990519,B,114.342460312422,30.5439983330253
15734,114.280524,30.621656,5925,129.767239419892,F,114.280524455485,30.6216560153512
15735,114.375289,30.603835999999998,4476,1056.28393871899,B,114.375303578967,30.6038113856241
15739,114.19741699999999,30.575138,3167,944.087032625545,F,114.197481640813,30.5753231728903
15740,114.197369,30.627097999999997,7375,373.770476874323,F,114.197372751778,30.6270008910681
15770,114.31358200000001,30.523409,6945,81.1584033679841,F,114.313494389488,30.5232164376709
15778,114.261156,30.543028999999997,2044,227.898886974149,B,114.261202965515,30.5430317199898
15780,114.28888,30.654742,6507,524.480504863457,F,114.289000645128,30.6547129951828
15782,114.263093,30.573862,7135,480.849185476834,F,114.263117610622,30.5738599549546
15783,114.32307,30.521907000000002,1392,494.255104213438,F,114.323182264875,30.521869455665
15785,114.324762,30.645933000000003,6426,431.887616694996,F,114.324792194599,30.6459253069027
15811,114.272827,30.485211,512,329.886652604701,F,114.272643716,30.4853023773627
15874,114.29126200000002,30.533896000000002,1666,318.761388180334,B,114.291140627554,30.5339176081042
15878,114.305168,30.526895,1416,11.7063967718517,F,114.305215880665,30.5268726732879
15914,114.30471999999999,30.535927,1721,633.384465623762,F,114.304723565472,30.5359488127431
15915,114.31851599999999,30.577386999999998,3383,301.620373504404,F,114.31867157452,30.577570074547
15916,114.27734199999999,30.585535999999998,3851,217.464062283472,B,114.277404453324,30.5855822601389
15918,114.31148400000001,30.524007,1316,132.987770264805,F,114.311543997581,30.5240584428903
15951,114.184027,30.592227,7214,1355.72974915574,F,114.184050660516,30.5922111019442
16147,114.22156399999999,30.6196,5638,1648.4132852266,B,114.220539332205,30.6195588115763
16149,114.27582199999999,30.661602000000002,7743,300.322232418481,F,114.275901772531,30.6614781960755
16150,114.306933,30.556924,2455,278.065899331151,F,114.306946174092,30.5569740956401
16151,114.22536000000001,30.559503999999997,2594,301.772543192048,F,114.225313647553,30.5592786447867
16152,114.19632,30.566971000000002,2858,92.4777714176994,F,114.196318430976,30.5669653556251
16153,114.367502,30.484069,6836,247.700611604395,F,114.367501188579,30.484091802212
16167,114.258307,30.600018,4534,15.5824273072323,F,114.258207123885,30.6000062008133
16180,114.40986699999999,30.499109000000004,6863,541.762630518032,F,114.409879864272,30.4992008246084
16182,114.38712,30.637209000000002,7413,682.543379793186,F,114.387189490633,30.6371032215368
16183,114.27528899999999,30.620321999999998,5706,452.767956679905,B,114.275245045826,30.6210572616121
16201,114.40208,30.471956,157,358.345659905648,F,114.403044599804,30.4722062004159
16202,114.18231999999999,30.59062,4142,211.02956618597,F,114.182317300157,30.5906480716092
16204,114.331093,30.664231,6563,653.368877295573,F,114.331177538482,30.6642075952091
16205,114.287903,30.600927000000002,4710,206.33719134837,B,114.287836133911,30.6008904078032
16699,114.289253,30.601876,4646,178.634707416032,B,114.289257632307,30.6018727632084
16718,114.365775,30.509328000000004,1102,670.911961114013,B,114.3658264903,30.5093296249592
16742,114.32013,30.459813,6786,5848.03062181577,F,114.32013012733,30.4603382052453
16773,114.29326200000001,30.667751000000003,7446,196.452615423359,F,114.293654981267,30.6670128565981
16924,114.227511,30.621631,5838,0,B,114.228362700246,30.6219457996502
16925,114.33416899999999,30.661210999999998,6565,437.548545598116,B,114.334164994384,30.6612309773374
16926,114.32790800000001,30.592665000000004,4207,225.431393303508,F,114.327903710744,30.5926682714377
16953,114.295129,30.584578000000004,3691,19.0433388672436,F,114.295073222293,30.5846021373854
16956,114.299342,30.521835,1260,296.508574254821,F,114.299251190226,30.5220985257903
16967,114.263667,30.6061,4848,612.508888661668,B,114.263644710577,30.606145453909
16970,114.369532,30.608587,5081,297.461851024255,B,114.36938923655,30.6088040571992
17009,114.379911,30.507398,864,739.71615342757,F,114.379910514076,30.5073813766951
17040,114.360477,30.568167,3174,767.366856625245,F,114.360485555178,30.5681615918815
17844,114.25946,30.544287,1888,659.610432313547,F,114.259385190334,30.5443983938218
18502,114.176428,30.584484999999997,3399,260.493005724225,B,114.175701975901,30.5847825815301
18513,114.24597,30.582253,3684,76.3104360208029,B,114.245979916388,30.5822474790445
18519,114.160408,30.579005,7156,148.426628760771,F,114.160430730859,30.5789579111828
18522,114.15918500000001,30.566370000000003,7876,2839.42444950995,F,114.159980882449,30.566418411374
18532,114.191075,30.526870000000002,1423,787.229715260159,F,114.191156397719,30.5269746706213
18543,114.160248,30.57865,7150,256.072682584418,F,114.160261834008,30.5787065314432
18713,114.257675,30.564415000000004,2737,231.467482017206,F,114.257618578221,30.5641291059869
